Data,t,tx,tn,tng,RH,VA,ch,sw,sw>=10m,sw>=15m,mslp,ppp,RRR,Opad d,Opad n,śnieg,śn rów,Usłone,op d,op ś,d z ś,mg,rosa,szron,burza
6/30/2023,20.9,27.6,12.4,10,64.1,15.1,5.1,2,0,0,1011.2,983.2,19,0,0,NaN,0,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN
6/29/2023,18.4,23.8,12.8,12,77.1,15.9,4.3,3.1,0,0,1015.4,987.1,0,0,0,NaN,0,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN
6/28/2023,14.8,20.7,9.2,8,74.6,12.3,4.9,5.5,1.3,0,1014.9,986.2,1.4,0.4,1,NaN,0,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN
6/27/2023,17.5,24,16.2,13.5,72.8,14.4,5.4,5,0,0,1013.5,985.1,1.1,1.1,0,NaN,0,NaN,3.2,NaN,NaN,NaN,NaN,NaN,NaN
6/26/2023,20.2,26.8,12,10.5,61.6,13.8,2,1.5,0,0,1015.3,987.1,13.2,0,13.2,NaN,0,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN
6/25/2023,19,25.6,11.4,10,71.1,14.9,3.8,2.4,0,0,1018.8,990.4,0,0,0,NaN,0,NaN,NaN,NaN,NaN,2.6,2,NaN,NaN
6/24/2023,17.4,21.6,15.4,15,86.6,17.2,7.4,1.9,0,0,1020.5,991.9,1.4,1.4,0,NaN,0,NaN,5.6,NaN,NaN,NaN,NaN,NaN,NaN
6/23/2023,21.4,25.8,18,16,83.5,21.3,5.6,2.1,0,0,1014.7,986.7,8.1,8.1,0,NaN,0,NaN,1.3,NaN,NaN,NaN,5,NaN,1.6
6/22/2023,23.8,29.8,17.6,17,68.8,19.7,4.4,2.1,0,0,1018.2,990.3,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
6/21/2023,23.5,29.5,17,15,66.8,19,5.8,2,0,0,1016.4,988.5,0.4,0.4,0,NaN,0,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN
6/20/2023,22.6,30.3,12.6,9.5,58.3,14.8,4,1.4,0,0,1016.4,988.4,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN
6/19/2023,19.9,27.3,10.7,7.5,62.8,13.7,1.4,1,0,0,1016.3,988.1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN
6/18/2023,17.8,23.9,10.3,7,67.3,13.1,2.8,1.9,0,0,1015.3,986.9,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,2.3,NaN,NaN
6/17/2023,17.5,23.2,10.4,9,69.6,13.5,4.6,3,0,0,1013.1,984.7,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN
6/16/2023,17,22.3,9.5,6.6,71,13.3,4.5,1.4,0,0,1014.4,986,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN
6/15/2023,15.7,22.4,8.3,6.2,73.4,12.5,3.1,1.3,0,0,1017.2,988.5,0,0,0,NaN,0,NaN,NaN,NaN,NaN,1,1,NaN,NaN
6/14/2023,13.2,17,9.3,7.5,88.3,13.3,6.5,1.6,0,0,1016.9,988,1.6,1.6,0,NaN,0,NaN,4.6,NaN,NaN,NaN,4,NaN,NaN
6/13/2023,12.2,16.9,6.5,4.6,71.4,9.9,3,3.4,0,0,1017.3,988.3,0.1,0,0.1,NaN,0,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN
6/12/2023,15.1,19.8,10.1,8.6,60.6,9.9,1.9,4.6,0,0,1020.2,991.4,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
6/11/2023,17.8,22.7,14.1,13,69,13.7,4,6.1,0,0,1018.9,990.4,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/10/2023,18.3,22.7,14.5,12.1,77.9,16.2,6.4,4.9,0.5,0,1015.4,987.1,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/9/2023,18.8,24.2,15.9,15.2,80.6,17.2,7.3,3,0,0,1013.6,985.4,1.5,0.9,0.6,NaN,0,NaN,1.1,NaN,NaN,NaN,6,NaN,1.2
6/8/2023,17.2,22.5,11.9,8.4,81,15.6,5.6,2.8,0,0,1016.3,987.9,0,0,0,NaN,0,NaN,NaN,NaN,NaN,1.9,1,NaN,NaN
6/7/2023,18.6,23.1,15.6,15.8,78.6,16.6,6.5,3.3,0,0,1017,988.6,0.2,0.2,0,NaN,0,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN
6/6/2023,17.7,21.5,14.7,13.6,66.3,13.5,7.4,3.3,0,0,1018.4,989.9,0.4,0.4,0,NaN,0,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN
6/5/2023,17.6,24.1,8.4,6,52.3,9.9,3.9,3.1,0,0,1020.9,992.3,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN
6/4/2023,14.8,21.8,6,3.5,51.3,7.9,0.4,2.9,0,0,1021.7,992.8,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN
6/3/2023,12.4,17.9,5.9,3,59.3,7.9,1.3,3.5,0,0,1022.6,993.5,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN
6/2/2023,15.1,22.3,10.2,9,67,11.2,3.5,3.5,0,0,1016,987.3,0,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN
